"buyer_gender","color","make","new_car","purchase_date","buyer_age","discount","sale_price"
"Male","Turquoise","Volkswagen","Yes","14/02/2021",26,0.22,42226
"Female","Maroon","Chevrolet","Yes","26/03/2021",61,0.24,41871
"Male","Violet","Pontiac","Yes","01/03/2021",64,0.34,18620
"Female","Aquamarine","Honda","Yes","17/04/2021",36,0.32,41649
"Female","Violet","Volkswagen","No","16/12/2021",47,0.25,47656
"Female","Crimson","Chevrolet","No","05/10/2021",29,0.37,47855
"Female","Crimson","Lamborghini","No","15/10/2021",57,0.08,63486
"Female","Green","Volvo","Yes","30/01/2021",56,0.17,17122
"Male","Puce","Acura","Yes","13/07/2021",57,0.48,44771
"Female","Red","Dodge","Yes","16/02/2021",51,0.39,46542
"Male","Indigo","Toyota","Yes","30/06/2021",26,0.04,59830
"Female","Turquoise","Oldsmobile","Yes","19/07/2021",25,0.48,29680
"Polygender","Mauv","Jeep","Yes","19/11/2021",37,0.24,39168
"Male","Crimson","Cadillac","No","19/10/2021",56,0.16,20730
"Female","Blue","Maybach","No","01/02/2021",57,0.11,10577
"Female","Purple","Porsche","No","16/11/2021",24,0.48,54657
"Female","Red","Hyundai","No","08/10/2021",20,0.46,12122
"Female","Indigo","GMC","No","25/10/2021",21,0.11,71825
"Male","Pink","Buick","Yes","11/02/2021",37,0.21,24701
"Female","Mauv","GMC","No","11/07/2021",29,0.4,69164
"Male","Yellow","Volkswagen","Yes","18/01/2021",20,0.15,29978
"Male","Blue","Honda","Yes","26/12/2021",37,0.36,21331
"Female","Puce","Audi","No","03/11/2021",58,0.04,70242
"Female","Turquoise","Audi","Yes","26/07/2021",30,0.49,50642
"Female","Aquamarine","Ford","No","17/03/2021",42,0.21,43360
"Female","Aquamarine","Chrysler","Yes","22/11/2021",37,0.39,11470
"Male","Goldenrod","Aston Martin","No","30/11/2021",23,0.48,44744
"Female","Fuscia","Subaru","No","16/03/2021",40,0.28,59577
"Bigender","Yellow","Porsche","No","10/05/2021",37,0.08,45902
"Male","Violet","Ford","Yes","03/12/2021",32,0.16,10851
"Male","Red","GMC","No","23/10/2021",50,0.19,30392
"Male","Green","Cadillac","No","22/01/2021",43,0.07,53156
"Male","Orange","Honda","Yes","05/05/2021",43,0.05,17559
"Female","Indigo","Dodge","Yes","25/03/2021",61,0.38,33257
"Female","Turquoise","Isuzu","Yes","17/07/2021",20,0.37,58834
"Female","Aquamarine","Lexus","Yes","17/08/2021",47,0.11,64089
"Male","Pink","Nissan","No","03/07/2021",55,0.08,10232
"Female","Pink","Ford","No","24/08/2021",29,0.03,70952
"Female","Turquoise","Mitsubishi","No","11/07/2021",42,0.11,45707
"Male","Red","Pontiac","No","01/09/2021",42,0.42,58169
"Female","Blue","Mitsubishi","Yes","08/09/2021",21,0.21,41053
"Female","Purple","Toyota","No","20/07/2021",58,0.46,25950
"Male","Puce","Corbin","Yes","18/09/2021",22,0.22,72562
"Female","Fuscia","Chevrolet","No","09/09/2021",58,0.44,13963
"Male","Yellow","Pontiac","No","10/12/2021",37,0,25722
"Male","Mauv","Porsche","Yes","27/03/2021",38,0.28,73201
"Female","Blue","Nissan","No","11/01/2021",37,0.26,41899
"Male","Orange","BMW","No","05/03/2021",48,0.23,62684
"Male","Purple","Dodge","Yes","05/01/2021",57,0.28,14895
"Female","Goldenrod","Suzuki","No","08/02/2021",59,0.2,37282
"Male","Khaki","Mercedes-Benz","No","08/04/2021",45,0.5,72696
"Female","Purple","Toyota","Yes","01/09/2021",62,0.2,72615
"Female","Mauv","Nissan","Yes","28/03/2021",46,0.31,63483
"Female","Puce","Volkswagen","No","18/05/2021",24,0.02,57484
"Female","Teal","Chevrolet","No","15/03/2021",30,0.02,74041
"Male","Purple","Chevrolet","No","15/04/2021",25,0.04,53834
"Male","Purple","Scion","Yes","25/02/2021",25,0.42,44709
"Female","Red","Chevrolet","No","26/12/2021",62,0.1,71015
"Male","Aquamarine","Saturn","No","01/09/2021",49,0.13,22746
"Male","Indigo","Mazda","No","05/01/2021",37,0.3,60022
"Female","Turquoise","Mitsubishi","Yes","24/02/2021",50,0.14,50223
"Female","Blue","Suzuki","Yes","25/07/2021",32,0.34,64526
"Male","Yellow","Land Rover","Yes","28/11/2021",47,0.49,56688
"Female","Violet","Nissan","No","31/01/2021",64,0.03,44745
"Female","Turquoise","Lexus","No","21/04/2021",65,0.29,48524
"Female","Indigo","Ford","Yes","06/07/2021",45,0.31,43549
"Female","Mauv","Chevrolet","No","09/02/2021",41,0.09,11102
"Female","Yellow","Volvo","Yes","30/12/2021",40,0.16,40530
"Female","Purple","Chevrolet","No","08/09/2021",50,0.12,25004
"Male","Teal","Lotus","No","01/07/2021",23,0.31,38632
"Male","Yellow","Mercedes-Benz","Yes","18/01/2021",30,0.05,59455
"Female","Goldenrod","Chevrolet","No","14/07/2021",54,0.18,55673
"Female","Green","Kia","No","20/02/2021",56,0.22,41581
"Male","Turquoise","Mitsubishi","Yes","06/07/2021",50,0.17,61559
"Female","Aquamarine","Ford","Yes","11/06/2021",26,0.16,65141
"Female","Red","Ford","Yes","11/10/2021",54,0.48,68878
"Female","Aquamarine","Pontiac","Yes","10/01/2021",23,0.06,19266
"Female","Maroon","Ford","Yes","19/05/2021",29,0.3,22499
"Male","Khaki","Pontiac","No","01/08/2021",49,0.18,37613
"Female","Puce","Infiniti","Yes","15/08/2021",50,0.04,59892
"Male","Pink","Jaguar","No","05/04/2021",59,0.06,65780
"Male","Puce","Acura","Yes","13/01/2021",54,0.12,46222
"Female","Fuscia","Lamborghini","No","12/07/2021",21,0.34,27612
"Female","Pink","BMW","Yes","02/02/2021",41,0.01,51125
"Bigender","Pink","GMC","Yes","27/02/2021",54,0.2,31330
"Female","Turquoise","Ford","Yes","20/04/2021",23,0.2,42060
"Female","Blue","Kia","Yes","21/11/2021",65,0.21,74618
"Male","Teal","Mercedes-Benz","No","03/11/2021",22,0.19,63544
"Female","Khaki","Chrysler","Yes","04/05/2021",46,0.18,39266
"Genderqueer","Mauv","Ford","Yes","03/11/2021",31,0.48,68009
"Male","Orange","Dodge","Yes","14/01/2021",50,0.41,29512
"Male","Mauv","Ford","Yes","30/11/2021",48,0.08,23581
"Male","Fuscia","Cadillac","No","20/06/2021",22,0.34,42541
"Female","Teal","Tesla","No","06/12/2021",22,0.17,38159
"Polygender","Puce","Volkswagen","Yes","29/11/2021",25,0.25,11834
"Male","Red","GMC","No","19/05/2021",49,0.33,47808
"Female","Turquoise","Ford","No","21/11/2021",61,0.13,47698
"Male","Puce","Nissan","Yes","22/06/2021",65,0.27,56762
"Male","Pink","Plymouth","No","20/12/2021",65,0.46,41021
"Male","Mauv","Volvo","Yes","17/06/2021",48,0.06,55516
"Female","Teal","Audi","No","16/05/2021",49,0.28,46725
"Female","Fuscia","Kia","No","07/08/2021",32,0.13,62380
"Female","Khaki","Mercedes-Benz","Yes","28/11/2021",33,0.22,45310
"Male","Red","Volkswagen","Yes","21/04/2021",54,0.02,15520
"Female","Teal","Cadillac","No","27/02/2021",47,0.22,26908
"Female","Pink","Nissan","Yes","19/10/2021",46,0.47,34540
"Female","Teal","Dodge","No","25/02/2021",37,0.47,13845
"Male","Yellow","Hyundai","Yes","17/11/2021",64,0.24,18378
"Other","Yellow","Nissan","Yes","05/03/2021",54,0.43,21605
"Other","Mauv","Mazda","No","01/11/2021",23,0.45,24341
"Male","Pink","Pontiac","No","31/10/2021",38,0.03,68846
"Male","Pink","GMC","No","12/02/2021",35,0.46,31229
"Male","Mauv","BMW","Yes","04/10/2021",30,0.26,46517
"Female","Indigo","BMW","Yes","28/04/2021",45,0.49,21192
"Male","Green","Volkswagen","No","06/06/2021",34,0.41,20606
"Female","Maroon","Lotus","Yes","27/01/2021",64,0.08,61902
"Male","Puce","Isuzu","No","19/06/2021",24,0.24,36758
"Other","Goldenrod","Ford","No","25/03/2021",24,0.24,54710
"Female","Mauv","Kia","Yes","16/03/2021",63,0.05,51977
"Female","Teal","Mercedes-Benz","No","07/01/2021",26,0.38,30801
"Male","Maroon","BMW","No","05/02/2021",29,0.01,33229
"Male","Goldenrod","Hyundai","No","07/10/2021",39,0.04,42132
"Female","Puce","Lamborghini","Yes","03/04/2021",22,0.21,67371
"Male","Teal","Audi","No","13/03/2021",49,0.35,73877
"Female","Indigo","Dodge","Yes","13/12/2021",41,0.21,68168
"Female","Mauv","Ford","Yes","26/08/2021",38,0.45,45954
"Male","Purple","Subaru","Yes","17/09/2021",46,0.27,48463
"Female","Crimson","Austin","Yes","06/06/2021",49,0.06,30317
"Female","Purple","Hyundai","No","30/01/2021",37,0.37,72640
"Female","Yellow","Audi","No","23/11/2021",64,0.46,22733
"Female","Fuscia","BMW","No","14/11/2021",49,0.27,22606
"Female","Turquoise","Volkswagen","No","09/08/2021",51,0.18,33484
"Female","Khaki","Plymouth","Yes","08/12/2021",26,0.19,65510
"Male","Violet","Mitsubishi","No","16/06/2021",36,0.39,29444
"Male","Teal","Chevrolet","Yes","30/10/2021",28,0.2,11760
"Female","Teal","Toyota","No","12/12/2021",47,0.26,29597
"Male","Teal","Buick","Yes","24/12/2021",48,0.4,28191
"Male","Orange","Jaguar","No","11/11/2021",50,0.03,37941
"Female","Turquoise","Toyota","No","07/07/2021",20,0,59315
"Female","Maroon","Pontiac","No","11/08/2021",64,0.29,43630
"Male","Red","Subaru","No","05/04/2021",30,0.33,44096
"Female","Blue","Mercedes-Benz","Yes","24/10/2021",60,0.02,51906
"Female","Mauv","GMC","Yes","11/12/2021",48,0.32,41585
"Female","Maroon","Hyundai","Yes","10/03/2021",38,0.15,67286
"Male","Aquamarine","Subaru","No","14/06/2021",23,0.05,59703
"Male","Teal","Volkswagen","No","18/12/2021",59,0.15,24421
"Male","Indigo","Dodge","Yes","04/12/2021",34,0.28,58081
"Female","Khaki","Cadillac","No","30/11/2021",29,0.37,44377
"Polygender","Goldenrod","Lincoln","No","22/08/2021",25,0.22,40688
"Female","Indigo","Mitsubishi","No","08/12/2021",22,0.27,63138
"Male","Green","Chevrolet","No","11/12/2021",34,0.34,38564
"Male","Teal","GMC","Yes","07/03/2021",62,0.06,53409
"Female","Red","BMW","No","19/08/2021",63,0.42,55645
"Female","Teal","Mitsubishi","Yes","24/01/2021",45,0.18,63207
"Female","Crimson","Mercury","No","26/09/2021",62,0.47,30230
"Female","Yellow","Volkswagen","Yes","09/09/2021",42,0.24,19006
"Male","Violet","Chevrolet","Yes","07/07/2021",43,0.18,71223
"Male","Indigo","Mercury","Yes","20/05/2021",59,0.35,15574
"Female","Crimson","Toyota","No","26/11/2021",54,0.37,69995
"Female","Blue","Nissan","Yes","25/10/2021",42,0.29,71235
"Bigender","Orange","Ford","No","15/12/2021",35,0.32,29387
"Agender","Violet","GMC","Yes","19/02/2021",43,0.09,63011
"Male","Indigo","Lexus","Yes","12/06/2021",28,0.42,74203
"Male","Indigo","Audi","Yes","19/08/2021",29,0.42,30391
"Male","Mauv","Chevrolet","Yes","16/12/2021",31,0.27,40568
"Female","Turquoise","Infiniti","Yes","27/11/2021",30,0.33,46231
"Male","Fuscia","Chevrolet","No","09/08/2021",31,0.11,34353
"Male","Teal","Audi","No","06/02/2021",25,0.38,74666
"Male","Indigo","Oldsmobile","No","22/04/2021",40,0.3,68756
"Genderfluid","Yellow","Toyota","No","09/07/2021",57,0.04,48579
"Genderfluid","Khaki","Ford","No","17/04/2021",22,0.23,63694
"Female","Green","Scion","Yes","07/07/2021",45,0.41,40592
"Male","Pink","Dodge","Yes","28/09/2021",24,0.13,33957
"Female","Green","Chrysler","No","19/04/2021",50,0.05,54896
"Female","Blue","Mitsubishi","No","31/07/2021",25,0.5,22102
"Female","Mauv","Nissan","No","09/05/2021",53,0.16,59673
"Female","Purple","Mercedes-Benz","Yes","17/08/2021",57,0.03,17006
"Female","Violet","Toyota","No","28/04/2021",49,0.07,71250
"Female","Blue","Volkswagen","Yes","06/09/2021",35,0.41,49676
"Female","Indigo","Audi","Yes","08/01/2021",57,0.32,43915
"Female","Khaki","Toyota","No","19/09/2021",42,0.06,42303
"Female","Teal","Honda","Yes","10/06/2021",54,0.41,68534
"Male","Blue","Lexus","No","24/09/2021",54,0.34,57308
"Other","Puce","Ford","No","09/07/2021",40,0.41,43915
"Female","Maroon","Dodge","No","11/03/2021",49,0.28,12504
"Male","Crimson","Chevrolet","Yes","21/05/2021",30,0.25,56358
"Female","Turquoise","Mercury","Yes","23/04/2021",20,0.26,52073
"Female","Mauv","GMC","No","16/11/2021",27,0.09,15964
"Female","Blue","Toyota","Yes","22/05/2021",52,0.45,45700
"Male","Indigo","Nissan","Yes","28/07/2021",55,0.2,22867
"Male","Goldenrod","Dodge","No","23/11/2021",59,0.26,40858
"Female","Khaki","GMC","Yes","02/03/2021",42,0.32,52447
"Male","Green","Pontiac","No","06/05/2021",44,0.48,16073
"Male","Yellow","Hummer","No","23/05/2021",39,0.45,19195
"Female","Khaki","Pontiac","No","25/07/2021",39,0,17268
"Male","Red","Subaru","Yes","08/03/2021",57,0.08,17906
"Genderfluid","Purple","Chevrolet","Yes","04/09/2021",59,0.45,74954
"Female","Puce","Lexus","Yes","03/12/2021",45,0.36,53647
"Female","Crimson","Pontiac","Yes","08/05/2021",27,0.01,51398
"Male","Teal","Isuzu","No","08/08/2021",22,0.07,26853
"Male","Yellow","Mazda","No","19/03/2021",50,0.2,19614
"Genderqueer","Goldenrod","Oldsmobile","Yes","29/01/2021",40,0.22,45356
"Male","Pink","Buick","Yes","07/10/2021",37,0.07,28991
"Genderfluid","Puce","Infiniti","Yes","13/08/2021",57,0.09,53903
"Male","Violet","Cadillac","No","10/02/2021",27,0.26,51939
"Other","Pink","Saab","No","30/08/2021",38,0.33,12952
"Female","Fuscia","Lexus","Yes","22/06/2021",24,0.43,54605
"Female","Purple","Chevrolet","Yes","24/08/2021",47,0.05,21989
"Female","Goldenrod","Mercury","Yes","23/06/2021",28,0.31,34175
"Male","Pink","Lexus","No","09/02/2021",56,0.12,33645
"Male","Purple","Ford","Yes","06/06/2021",53,0.3,66746
"Bigender","Blue","Acura","No","06/05/2021",32,0.04,18843
"Male","Goldenrod","Chevrolet","No","08/04/2021",43,0.31,29501
"Female","Red","Dodge","No","14/07/2021",57,0.03,12767
"Female","Turquoise","Mercedes-Benz","No","13/05/2021",28,0.11,57972
"Polygender","Goldenrod","Jeep","No","26/02/2021",27,0.23,72863
"Female","Red","Infiniti","No","03/01/2021",39,0.03,62994
"Male","Mauv","Volvo","No","23/02/2021",61,0.2,11316
"Female","Purple","Pontiac","No","07/03/2021",65,0.28,11295
"Male","Fuscia","Pontiac","No","22/03/2021",43,0.47,20588
"Male","Mauv","Hyundai","No","20/01/2021",40,0.27,25248
"Bigender","Maroon","Maybach","Yes","11/06/2021",43,0.12,47689
"Male","Fuscia","Lamborghini","Yes","18/08/2021",23,0.49,47151
"Male","Goldenrod","Chevrolet","No","09/11/2021",31,0.36,70290
"Male","Turquoise","Hyundai","No","23/07/2021",43,0.03,52322
"Female","Violet","Toyota","No","18/06/2021",60,0.44,28493
"Genderqueer","Turquoise","Toyota","Yes","03/05/2021",23,0.35,38265
"Male","Crimson","Chevrolet","No","11/08/2021",52,0.41,59121
"Male","Red","Alfa Romeo","Yes","06/02/2021",51,0.4,53659
"Male","Puce","Austin","No","09/03/2021",55,0.35,61820
"Male","Mauv","Porsche","Yes","16/08/2021",55,0.35,66704
"Male","Teal","Chevrolet","Yes","26/04/2021",48,0.37,39731
"Female","Teal","Dodge","Yes","09/12/2021",26,0.12,52575
"Female","Purple","Infiniti","Yes","22/12/2021",27,0.25,67731
"Agender","Puce","Jaguar","No","10/05/2021",45,0.12,28568
"Female","Mauv","Lexus","No","26/05/2021",35,0.47,56486
"Male","Crimson","Ram","Yes","20/09/2021",23,0.41,43791
"Male","Orange","Chevrolet","Yes","12/05/2021",44,0.3,68708
"Female","Puce","Pontiac","No","18/02/2021",22,0.31,30204
"Female","Violet","Oldsmobile","Yes","04/07/2021",35,0.04,53534
"Male","Orange","Hummer","No","13/01/2021",65,0.26,23322
"Female","Green","Dodge","No","03/10/2021",20,0.1,39941
"Female","Yellow","Ford","No","10/12/2021",54,0.3,55946
"Female","Indigo","Mazda","Yes","19/10/2021",59,0.47,18228
"Female","Aquamarine","Volkswagen","No","17/12/2021",50,0.48,46180
"Male","Maroon","Saturn","Yes","20/11/2021",39,0.28,13337
"Bigender","Goldenrod","Volkswagen","No","25/06/2021",28,0.2,41767
"Female","Khaki","Mercedes-Benz","No","13/10/2021",52,0.18,66254
"Female","Indigo","Mazda","Yes","30/11/2021",30,0.44,16491
"Female","Aquamarine","Lexus","Yes","05/05/2021",34,0.38,39687
"Male","Mauv","Chevrolet","No","01/08/2021",21,0.48,20284
"Genderfluid","Khaki","Ford","No","06/04/2021",62,0.34,22159
"Male","Purple","Pontiac","Yes","06/12/2021",52,0.31,63615
"Male","Violet","GMC","Yes","29/11/2021",62,0.33,57114
"Other","Violet","Buick","Yes","28/05/2021",51,0.03,21136
"Male","Turquoise","Toyota","No","03/07/2021",56,0.49,23184
"Male","Indigo","Volvo","Yes","17/01/2021",61,0.18,50282
"Female","Orange","BMW","No","02/11/2021",36,0.07,57423
"Female","Crimson","Dodge","Yes","17/10/2021",61,0.42,25602
"Female","Fuscia","Kia","Yes","05/04/2021",34,0.21,74636
"Female","Violet","Mercedes-Benz","Yes","07/08/2021",47,0.45,58418
"Female","Yellow","Lexus","Yes","20/08/2021",43,0.31,20587
"Male","Maroon","Acura","Yes","06/01/2021",58,0.42,56829
"Male","Fuscia","Nissan","No","19/04/2021",52,0.49,20563
"Male","Mauv","Lexus","No","28/03/2021",52,0.35,22284
"Male","Purple","GMC","No","17/05/2021",57,0.5,40855
"Male","Puce","Mercedes-Benz","No","29/08/2021",48,0.37,72334
"Female","Pink","Land Rover","No","07/11/2021",34,0.31,72160
"Female","Orange","Volkswagen","No","29/01/2021",33,0.28,18064
"Male","Violet","Mazda","No","07/09/2021",24,0.36,43261
"Male","Puce","Dodge","No","28/01/2021",28,0.39,39128
"Female","Crimson","Acura","No","08/08/2021",46,0.41,43039
"Male","Mauv","Ford","Yes","04/01/2021",26,0.39,40632
"Female","Yellow","Mercury","Yes","22/12/2021",59,0.43,46141
"Male","Turquoise","Dodge","Yes","18/05/2021",23,0.39,55605
"Male","Blue","Subaru","Yes","26/11/2021",34,0.36,48071
"Female","Green","Subaru","Yes","13/11/2021",26,0.02,29978
"Female","Aquamarine","Mitsubishi","No","15/09/2021",33,0.13,24974
"Female","Green","Toyota","Yes","21/10/2021",27,0.4,63137
"Female","Fuscia","Dodge","No","25/06/2021",38,0.24,12221
"Female","Fuscia","Ford","Yes","04/11/2021",32,0.47,44813
"Female","Orange","Ford","Yes","16/10/2021",58,0.23,63594
"Female","Aquamarine","Mercedes-Benz","No","26/09/2021",40,0.47,19699
"Female","Mauv","Toyota","Yes","29/04/2021",31,0.5,71445
"Bigender","Khaki","Porsche","Yes","04/08/2021",48,0.48,52320
"Male","Orange","Toyota","No","22/12/2021",22,0.22,50030
"Other","Orange","Mitsubishi","Yes","09/11/2021",27,0.42,71461
"Male","Purple","Saab","No","04/09/2021",51,0.2,20435
"Polygender","Fuscia","Volkswagen","No","16/03/2021",55,0.06,37041
"Male","Yellow","Oldsmobile","Yes","03/04/2021",48,0.35,37894
"Male","Blue","Subaru","Yes","20/12/2021",37,0.03,71562
"Male","Violet","Honda","No","21/09/2021",24,0.37,33784
"Female","Aquamarine","Mercedes-Benz","Yes","30/11/2021",44,0.39,58934
"Other","Violet","Volkswagen","Yes","31/03/2021",40,0.39,24798
"Male","Pink","Dodge","No","22/08/2021",33,0.05,51865
"Male","Red","Volkswagen","Yes","06/07/2021",61,0.32,48713
"Male","Goldenrod","Acura","Yes","10/03/2021",35,0.16,26877
"Male","Mauv","Lincoln","Yes","09/01/2021",38,0.47,19128
"Female","Indigo","Ford","No","26/02/2021",33,0.46,28623
"Male","Yellow","Infiniti","Yes","21/10/2021",50,0.4,42233
"Male","Purple","Ford","Yes","05/11/2021",61,0.11,62137
"Other","Maroon","Mercury","No","27/01/2021",34,0.5,72175
"Male","Purple","Honda","No","20/06/2021",55,0.37,38349
"Female","Puce","Chevrolet","Yes","20/09/2021",56,0.04,67468
"Male","Turquoise","Porsche","Yes","05/04/2021",63,0.29,58752
"Male","Goldenrod","Subaru","Yes","22/09/2021",59,0.23,72387
"Male","Goldenrod","Ford","No","13/05/2021",63,0.01,56837
"Female","Turquoise","GMC","Yes","31/03/2021",28,0.33,41740
"Female","Teal","Dodge","No","31/05/2021",40,0.18,69352
"Female","Teal","Mercury","Yes","10/07/2021",20,0.28,60334
"Female","Pink","Jeep","No","19/02/2021",38,0.41,11797
"Female","Blue","Ford","Yes","09/06/2021",50,0.28,55850
"Male","Crimson","Mazda","No","24/06/2021",25,0.13,20357
"Female","Violet","Ford","No","11/07/2021",53,0.45,49698
"Male","Pink","Mitsubishi","Yes","14/05/2021",43,0.4,67083
"Male","Indigo","BMW","Yes","29/07/2021",38,0.12,48292
"Male","Khaki","GMC","No","14/03/2021",27,0.09,22660
"Female","Mauv","GMC","Yes","03/08/2021",32,0.05,49310
"Male","Purple","Chevrolet","No","17/02/2021",33,0.44,33570
"Male","Green","Nissan","Yes","08/01/2021",60,0.19,40423
"Male","Aquamarine","Chevrolet","Yes","08/11/2021",48,0.48,33863
"Female","Pink","Infiniti","Yes","16/08/2021",20,0.47,23491
"Female","Orange","Honda","Yes","18/02/2021",52,0.29,27543
"Polygender","Maroon","Cadillac","No","15/06/2021",65,0.42,44096
"Female","Fuscia","Mercedes-Benz","No","28/07/2021",40,0.23,74472
"Male","Goldenrod","Jeep","Yes","31/08/2021",34,0.4,48893
"Male","Teal","Pontiac","Yes","15/12/2021",53,0.29,68838
"Male","Red","Lamborghini","Yes","27/05/2021",44,0.36,61209
"Male","Indigo","Volvo","Yes","27/11/2021",57,0.48,51002
"Male","Mauv","Chevrolet","Yes","09/05/2021",27,0.41,52975
"Female","Violet","Toyota","Yes","22/06/2021",32,0.15,54883
"Male","Red","Toyota","No","13/10/2021",37,0.34,71853
"Male","Green","Ford","Yes","15/01/2021",60,0.26,24705
"Male","Aquamarine","Dodge","No","01/04/2021",46,0.45,20145
"Female","Violet","Kia","Yes","19/12/2021",22,0.32,63821
"Female","Indigo","Chevrolet","No","28/06/2021",46,0.18,22826
"Female","Puce","Nissan","No","20/05/2021",45,0.2,54755
"Female","Maroon","Ford","No","07/10/2021",21,0.3,50721
"Female","Goldenrod","Ford","No","25/09/2021",34,0.41,15066
"Male","Teal","Ford","No","17/08/2021",23,0.06,16837
"Female","Mauv","Mercedes-Benz","Yes","06/06/2021",20,0.35,26035
"Male","Fuscia","Infiniti","No","27/06/2021",29,0.15,67486
"Female","Aquamarine","Chevrolet","Yes","10/12/2021",50,0.28,36455
"Male","Turquoise","Dodge","No","18/02/2021",61,0.48,52684
"Male","Purple","Chevrolet","Yes","28/05/2021",28,0.4,59060
"Male","Mauv","Eagle","Yes","07/02/2021",41,0.24,56179
"Male","Turquoise","Toyota","No","05/02/2021",30,0.28,55008
"Female","Aquamarine","Ford","No","23/04/2021",36,0.1,62784
"Genderqueer","Maroon","Land Rover","Yes","29/08/2021",39,0.01,16517
"Male","Blue","Mazda","No","28/11/2021",41,0.21,68801
"Male","Maroon","Ford","Yes","25/09/2021",49,0.27,18442
"Female","Goldenrod","GMC","No","07/02/2021",30,0.3,30334
"Male","Yellow","Buick","No","09/04/2021",29,0.35,55301
"Male","Teal","GMC","Yes","19/01/2021",50,0.17,13863
"Agender","Blue","Pontiac","Yes","25/08/2021",47,0.08,62295
"Female","Pink","Oldsmobile","No","03/09/2021",54,0.11,27949
"Bigender","Khaki","Toyota","No","14/02/2021",20,0.5,12208
"Male","Goldenrod","Mazda","Yes","22/05/2021",56,0.15,18569
"Male","Red","BMW","Yes","21/10/2021",59,0.21,51564
"Female","Crimson","BMW","Yes","08/02/2021",54,0.29,63341
"Male","Yellow","Ford","No","06/10/2021",61,0.5,14034
"Female","Green","Aston Martin","Yes","21/02/2021",35,0.15,53405
"Female","Turquoise","Mercedes-Benz","Yes","28/01/2021",61,0.31,65027
"Male","Puce","Mazda","No","24/01/2021",22,0.44,35259
"Male","Purple","Mitsubishi","No","22/10/2021",23,0.21,60953
"Female","Fuscia","Toyota","No","20/06/2021",56,0.34,21318
"Male","Violet","Mitsubishi","No","10/11/2021",41,0.42,73414
"Female","Aquamarine","Chevrolet","No","05/07/2021",51,0.33,59511
"Male","Red","GMC","No","03/09/2021",38,0.19,33843
"Male","Aquamarine","GMC","No","04/08/2021",53,0.5,52923
"Female","Orange","Honda","No","07/05/2021",56,0.02,58187
"Female","Aquamarine","Suzuki","Yes","30/04/2021",29,0.45,57768
"Male","Indigo","Citroën","No","20/03/2021",62,0.23,61137
"Genderfluid","Maroon","Jaguar","No","23/06/2021",36,0.41,37322
"Other","Fuscia","Ford","Yes","15/08/2021",22,0.48,11081
"Bigender","Khaki","GMC","Yes","08/02/2021",54,0.43,55179
"Agender","Maroon","Mercedes-Benz","Yes","29/07/2021",27,0.03,43502
"Male","Purple","Ford","No","20/05/2021",35,0.13,43315
"Male","Violet","Saab","No","10/09/2021",64,0.1,32047
"Female","Blue","Jaguar","Yes","23/08/2021",54,0.19,34011
"Male","Turquoise","Volkswagen","No","09/02/2021",62,0.07,33729
"Female","Red","Mazda","Yes","13/01/2021",55,0.39,51239
"Female","Pink","Bentley","No","09/09/2021",39,0.18,36393
"Male","Pink","Ford","No","17/10/2021",29,0.32,48084
"Female","Puce","Chevrolet","Yes","02/02/2021",33,0.39,60241
"Female","Maroon","BMW","Yes","17/02/2021",65,0.24,24077
"Female","Green","Volvo","Yes","21/07/2021",51,0.04,39088
"Female","Red","GMC","Yes","04/03/2021",44,0.27,24882
"Female","Violet","BMW","Yes","11/04/2021",33,0.18,19109
"Female","Aquamarine","Infiniti","No","21/09/2021",47,0.32,35438
"Male","Khaki","GMC","No","08/11/2021",33,0.37,22280
"Male","Khaki","Ford","Yes","10/04/2021",44,0.25,40033
"Female","Khaki","Ford","No","22/09/2021",49,0.23,19724
"Other","Green","Chrysler","No","09/11/2021",45,0.35,42872
"Female","Teal","Mazda","Yes","18/01/2021",26,0.26,47733
"Male","Indigo","Jeep","No","15/09/2021",46,0.44,49254
"Male","Fuscia","Land Rover","No","28/11/2021",47,0.35,46445
"Male","Violet","Audi","Yes","09/02/2021",48,0.26,17337
"Genderqueer","Pink","Eagle","Yes","11/10/2021",26,0.46,15978
"Male","Maroon","Volvo","Yes","18/05/2021",20,0.37,56260
"Female","Crimson","Ford","No","26/04/2021",45,0,23157
"Male","Teal","Dodge","No","27/06/2021",60,0.24,25173
"Male","Green","Mercury","Yes","11/07/2021",54,0.44,14801
"Male","Green","Suzuki","No","06/10/2021",55,0.25,48199
"Female","Indigo","Mazda","No","14/04/2021",31,0.41,23579
"Male","Orange","Pontiac","Yes","15/04/2021",32,0.36,46756
"Other","Fuscia","Volvo","No","04/02/2021",65,0.06,56779
"Male","Fuscia","Mitsubishi","Yes","03/07/2021",31,0.17,26573
"Male","Khaki","Ford","Yes","06/11/2021",20,0.27,71956
"Male","Blue","Chevrolet","No","16/11/2021",31,0.16,65121
"Male","Green","Ford","No","18/05/2021",56,0.05,63221
"Female","Red","Chevrolet","Yes","07/01/2021",23,0.23,26537
"Female","Khaki","Isuzu","No","20/07/2021",54,0.03,71934
"Female","Blue","Lexus","No","19/12/2021",33,0.04,32590
"Female","Mauv","BMW","Yes","10/10/2021",34,0.29,50374
"Agender","Teal","Volkswagen","Yes","05/12/2021",36,0.35,12405
"Female","Turquoise","Dodge","No","25/04/2021",55,0.3,73440
